original,augmented,method
"It's not a film to take literally at any level, but its focus still seems doubtful.","It's not a film to take literally at any level, but its focus still seems doubtful.",back_translation
The camera's turning!,The camera's turning!,back_translation
oliveira seems to continue the silent representation of the film with each grieving composition.,oliveira seems to continue the silent representation of the film with each composition in mourning.,back_translation
"One of those truth-based stories that convinces you, with every scene, that this could never really have happened that way.","One of those truth-based stories that convinces you, with each scene, that it could never really have happened that way.",back_translation
"Put it somewhere between the sling blade and the south of the sky, west of hell in the pantheon of Billy's bob body.","Put it somewhere between the blade and the south of the sky, west of hell in Billy's body pantheon.",back_translation
"Although not quite a comedy, the film addresses its relatively serious subject with an open mind and a considerable good mood, and is never less than engaging.","Although it is not a comedy, the film addresses its relatively serious subject with an open mind and a considerable good mood, and is never less than engaging.",back_translation
"It's a trick, written and directed so quietly that it's the implosion rather than the explosion you're afraid of.","It's a trick, written and directed so discreetly that it's the implosion rather than the explosion you're afraid of.",back_translation
"Although it was made with particular attention to detail and is well-made by james spader and maggie gyllenhaal, I felt disrespectful.","Although it was done with particular attention to detail and was well done by james spader and maggie gyllenhaal, I felt disrespectful.",back_translation
"personal speed should be to explore the inner life of these women, but it never moves beyond their surface.","The personal speed should be to explore the inner life of these women, but it never moves beyond their surface.",back_translation
"for a film that celebrates radical, non-conformist values, what to do in case of fire?","for a film that celebrates radical and non-conformist values, what can be done in case of fire?",back_translation
Draggin' on the dragons,Draggin' on the dragons,back_translation
That's not true.,That's not true.,back_translation
saved from being simply way-cool by a fundamental and credible compassion.,Saved from being simply cool by a fundamental and credible compassion.,back_translation
... a small piece of puddle overflowing with pleasant performance and a feeling of self-important disconcerting,... a small piece of puddle overflowing with pleasant performance and a disconcerting feeling of self-important,back_translation
"Like other great documentaries... this follows a truth - lrb - the complicity of the Ford administration in the tearing up of the "" orphans "" of their mothers - rrb - and stumble on others even more convincing.","Like other great documentaries... it follows a truth - lrb - the complicity of the Ford administration in the erection of their mothers' ""orphans"" - rrb - and stumble on others even more convincing.",back_translation
a porn movie without sex scenes.,A porn movie without sex scenes.,back_translation
"Cox is much more concerned about the increase in madness, not man, and the results could drive you crazy.","Cox is much more concerned about the increase in madness, not man, and the results could drive you crazy.",back_translation
the respective charms of Sandra bulbock and Câlinh subsidy have carried wires of iron.,the respective charms of Sandra bulbock and Câlinh subsidy have carried wires of iron.,back_translation
"Not the best herzog maybe, but without a doubt herzog.","Not the best herzog maybe, but without a doubt herzog.",back_translation
- She feels like a summer popcorn movie.,- She feels like a summer popcorn movie.,back_translation
"It's entertaining, but it's like shooting fish in a barrel.","It's entertaining, but it's like pulling fish in a barrel.",back_translation
A brutally honest documentary about a long-awaited family reunion that goes wrong with cultural shock and rejection of empathy with others.,A brutally honest documentary about a long-awaited family reunion that runs counter to the cultural shock and rejection of empathy towards others.,back_translation
This is because he solemnly puts forward a boldly absurd thesis.,It is because he solemnly presents a boldly absurd thesis.,back_translation
"That's all you've been waiting for, but nothing more.","That's all you're waiting for, but nothing more.",back_translation
martyr gets royally fucked and comes back for more.,martyr gets royally fucked and comes back for more.,back_translation
a ``Black Austin Power? '',"A ""Black Austin Power?""",back_translation
"for all of his intrigues, and some of them approach the strangeness that the film blows down, the work of blood is a strong, character-oriented piece.","for all his intrigues, and some of them approach the strangeness that the film brings down, the work of blood is a strong piece, oriented towards character.",back_translation
It's an opera movie for the buffalo.,It's an opera movie for the buffalo.,back_translation
"for 95 minutes often hilarious, -lrb- cho -rrb- riffs on the dictation of colonists, on personal ads right against gay, on how men would act if they had periods, and on the perils of some surreptitious sexual practice.","For 95 minutes, often hilarious, -lrb- cho -rrb- riffs on the dictation of the colonists, on personal announcements right against gay, on how men would act if they had periods, and on the dangers of certain subreptitious sexual practices.",back_translation
He says a lot about a filmmaker when he can be crazy without pushing the audience on his head and keeping a sense of urgency and suspense.,He talks a lot about a filmmaker when he can be crazy without pushing the audience over his head and keeping a sense of urgency and suspense.,back_translation
"examines its explosive material as non-judicious as the previous switman studies of downtown high schools, hospitals, courts and social welfare centers.","Considers its explosive material as non-judicial, as did previous switman studies in downtown secondary schools, hospitals, courts and social welfare centres.",back_translation
The film is essentially a series of moments of fleeting and interesting actors.,The film is essentially a series of moments of ephemeral and interesting actors.,back_translation
the film is about relationships rather than the result.,The film focuses on relationships rather than results.,back_translation
Is the red dragon worthy of a place alongside Hannibal's other films?,Does the red dragon deserve a place alongside Hannibal's other films?,back_translation
"Boy oh boy, it's a scream.",It's a scream.,back_translation
a Taiwanese soap maker overflowing with three people and their mixed relationship.,a Taiwanese soap maker overflowing with three people and their mixed relationship.,back_translation
only two-fifths of a satisfactory film experience.,only two-fifths of a satisfactory film experience.,back_translation
Same guy with both hats.,Same guy with both hats.,back_translation
an exciting portion of fluff films.,An exciting part of fluff movies.,back_translation
"queens wo circuit learn nothing, they will be too busy cursed the strategically placed white leaves of the film.","queens wo circuit learn nothing, they will be too busy cursed the white leaves strategically placed from the film.",back_translation
- lrb- crystal and niro-rrb- manage to extirpate some good laughs but not enough to blackmail this stupid asshole.,"- Cristal and niro-rrb- can pull out good laughs, but not enough to blackmail that asshole.",back_translation
... a pretty disposable but always entertaining b image.,...a very disposable but always entertaining b image.,back_translation
ozpetek joins the ranks of these gay filmmakers who have used the experience of emigre to explore the culture of the same sex in order to escape the most established at the national level.,ozpetek joins the ranks of these gay filmmakers who have used the experience of emigrating to explore the culture of the same sex in order to escape the most established at the national level.,back_translation
represents something very close to the nadir of the kind thriller\/horror .,represents something very close to the nadir of the nice thriller\/horror .,back_translation
"Fortunately, you still have this option.","Fortunately, you still have this option.",back_translation
This follow-up seems so similar to the classic disney 1953 that he makes it a long time for a geriatric peter.,This follow-up seems so similar to the classic disney 1953 that it makes it a long time for a geriatric peter.,back_translation
It doesn't seem to be getting close to the centre of history.,He doesn't seem to be getting closer to the centre of history.,back_translation
"If legendary shockmeister ed bois had ever made a film about a vampire, it would probably look a lot like this alarming production, adapted from the rice novel annes vampire chronicles.","If the legendary shockmeister ed bois had ever made a film about a vampire, it would probably look very much like this alarming production, adapted from the chronic vampire anne rice novel.",back_translation
"... the only thing this wild movie has that other imax movies don't do: chimpanzees, lots of chimpanzees, all blown up to the size of a house.","... the only thing this wild movie has that other imax movies don't do: chimpanzees, lots of chimpanzees, all blown up to the size of a house.",back_translation
Don't hate el crimen del padre amaro because it's anti-Catholic.,Don't hate el crimen del padre amaro because it's anti-Catholic.,back_translation
robin williams departs from his fun and friendly behavior in exchange for a darker and more devastating role.,Robert Williams deviates from his fun and friendly behavior in exchange for a darker and more devastating role.,back_translation
"Oh, and the booty call.","Oh, and the call to loot.",back_translation
"It's a sentence of drawing, of slobbering, of a film, of a gothic of the south with the emotional arch of his raw soundtrack of blues.","It is a phrase of drawing, of slobing, of a film, of a gothic of the south with the emotional arch of its original blues band.",back_translation
"Since Lee is a sentimentalist, the film is more venerating than your random e!","Since Lee is a sentimentalist, the film is more venerating than your random e!",back_translation
That's right.,That's right.,back_translation
- Spies.,- Spies.,back_translation
sex with strangers will shock a lot with her unlinked frankness.,Sex with strangers is going to shock a lot with its unlinked frankness.,back_translation
More of an intriguing curiosity than a catchy thriller.,More of an intriguing curiosity than a catchy thriller.,back_translation
This off-the-ground French romantic comedy is sure to test severely the indulgence of amelian fans.,This romantic French comedy out-of-ground is sure to test severely the indulgence of fans of Amelian.,back_translation
"With freeman and judd, I'll remember at least their characters.","With Freeman and Judd, I'll remember at least their characters.",back_translation
casting happens even when the movie doesn't.,Casting happens even when the movie doesn't.,back_translation
"it's quite entertaining, but don't look for any hefty anti-establishment message in what is essentially a whip-crack of a boyfriend movie that ends with a whimper.","It's quite entertaining, but don't look for a hideous anti-establishment message in what is essentially a whip-crack of a boyfriend movie that ends in a whirlwind.",back_translation
It looks much more like a cartoon in the end than the simpsons have ever had.,It looks more like a cartoon than the simpsons have ever had.,back_translation
"Despite these troubles, the capable clayburgh and drum really do a great job of anchoring the characters in the emotional realities of the Middle Ages.","Despite these problems, the capable clayburgh and drum really do a great job of anchoring the characters in the emotional realities of the Middle Ages.",back_translation
"Despite its raucous intent, xxx is as conventional as a nike ad and as rebellious as the spring break.","Despite his raucous intention, xxx is as conventional as a nike ad and as rebellious as the spring break.",back_translation
"while it has the manufacture of melodrama, the filmmaker cuts against this natural grain, producing a work that 'is more interested in asking questions than answering them.","While he has the manufacture of melodrama, the filmmaker cuts against this natural grain, producing a work that 'is more interested in asking questions than answering them.",back_translation
To watch this film underdramatized but exaggerated is like watching a transcription of a therapy session brought to the life of humdrum by a Freudian puppet.,Watching this film underdramatized but exaggerated is like watching a transcript of a therapy session brought to the life of the humdrum by a Freudian puppet.,back_translation
"even if it is infused with the sensitivity of a video director, it does not do for completely empty entertainment","even if it is infused with the sensitivity of a video director, it does not make for completely empty entertainment",back_translation
Let's face it -- there aren't many reasons someone would want to see the crossroads if they're not big fans of teen pop kitten Britney lances.,Admit it -- there are not many reasons why someone would want to see the crossroads if he's not a big fan of Britney throws teen pop kitten.,back_translation
... the intelligence of the image is ironically mutated by the very people who are destined to make it shine.,... the intelligence of the image is ironically mutated by the very people who are destined to make it shine.,back_translation
What makes the film work -- to a limited extent -- is the commitment of two truly engaging performers.,What makes the film work -- to some extent -- is the commitment of two really engaging artists.,back_translation
"You come hoping, however, that the film has spent much less time trying to make a credible case for the post-life reports and much more time on the romantic emergency that is at the center of the story.","You come to hope, however, that the film has spent much less time trying to make a credible case for post-life reports and much more time on the romantic urgency that is at the heart of the story.",back_translation
What we get... is Caddyshack crossed with the loyal order of raccoons.,What we get... is Caddyshack crossed with the loyal order of raccoons.,back_translation
"Tom green and a league college of ivy should never appear together on a score, especially when payment is an unschooled comedy like stealing Harvard, which does not manage to keep 80 minutes to appear as 800.","Tom Green and a league college should never appear together on a score, especially when payment is a non-school comedy like stealing Harvard, which does not manage to keep 80 minutes to appear as 800.",back_translation
One of the strangest and most inexplicable suites in the film's history.,One of the strangest and most inexplicable suites in the film's history.,back_translation
Potentially shakes attractive ingredients in a malaise mix of ghosts and close encounters of the third genus.,It potentially shakes attractive ingredients in a mixture of ghost malaise and close encounters of the third genus.,back_translation
"Those who love the cinema paradise will find the new scenes interesting, but few will find the movie improved.","Those who love the cinema's paradise will find the new scenes interesting, but few will find the movie improved.",back_translation
"The filmmaker literally ascends to the olympic world of art, but he would have done well to put an end to this imperfect, dazzling series with the elevation of something other than his own cremaster.","The filmmaker literally ascends to the Olympic world of art, but he would have done well to put an end to this imperfect and dazzling series with the elevation of something other than his own cremaster.",back_translation
"If the idea of the white man arriving on the foreign coasts to show the distrustful natives the true light is horror to you, the simplistic sky will probably be more like hell.","If the idea of the white man arriving on the foreign coasts to show the distrustful natives the true light is the horror for you, the simplistic sky will probably be more like hell.",back_translation
The sky is a haunting dramatization of the moral ascension of a couple.,The sky is a haunting dramatization of the moral ascension of a couple.,back_translation
"animation serves simply a predictable, Maudlin story that is strongly agitated by bambi and the lion's king, but lacks the emotional resonance of either of these films.","animation simply serves a predictable story, Maudlin who is strongly agitated by bambi and the lion's king, but lacks the emotional resonance of either of these films.",back_translation
"it would be casual to call reno a big movie, but you can say that on most movies moving in and out of the multiplex.","It would be occasional to call reno a big movie, but you can say that on most movies moving in and out of the multiplex.",back_translation
"This flick heist on the young hoods brooklyn is out of the shelf after two years to capitalize on the popularity of diesel wine, green seth and barry pepper.","This flick heist on young brooklyn hoods is out of the shelf after two years to capitalize on the popularity of diesel wine, green seth and barry pepper.",back_translation
turning away the French comedy in which a husband has to face the stinging moods of jealousy.,turning away the French comedy in which a husband has to face the stinging moods of jealousy.,back_translation
Each scene is torn apart by routine; the film never manages to generate a single threat of suspense.,Each scene is torn apart by routine; the film never manages to generate a single threat of suspense.,back_translation
Maybe not since the old grumpy ones I've heard a film so firmly linked to one demographic while hitting with another.,Maybe not since the old grinches I've heard a film so strongly linked to one demographic while hitting with another.,back_translation
"meyjes focuses too much on max when he should fill the screen with this tortured, dull and monster-in-the-do artist.","meyjes focuses too much on max when he should fill the screen with this tortured, dull and monster-to-do artist.",back_translation
hilarious but stylish musical with thick accents like mud.,hilarious but elegant musical with thick accents like mud.,back_translation
"-Lrb- it -rrb- highlights not so much the lord of the crime folded messianic, but spacey 's.","-Lrb- it -rrb- highlights not so much the lord of the folded Messianic crime, but spacey 's.",back_translation
"tsai succeeded in creating an underestimated melodrama on the dynamics of the family and the dysfunction that relates to saving, the heart without control of yasujiro ozu.","tsai managed to create an underestimated melodrama on the dynamics of the family and the dysfunction that relates to saving, the heart without control of yasujiro ozu.",back_translation
"the sweetest thing, a romantic comedy with scandalous tendencies, can be a disorder in many ways.","The sweetest thing, a romantic comedy with scandalous tendencies, can be a disorder in many ways.",back_translation
"A twisting brain, less a movie than a funny and weird meditation on Hollywood, success, artistic integrity and intellectual bankruptcy.","A twisted brain, less a film than a funny and weird meditation about Hollywood, success, artistic integrity and intellectual bankruptcy.",back_translation
Let's hope we don't.,Let's hope we don't.,back_translation
"You can see the surprises that would be a mile away, and the execution of these twists comes with a hammer.","You can see the surprises that would be a mile away, and the execution of these twists comes with a hammer.",back_translation
It can even fall into the category of movies you like to hate.,It can even fall into the category of movies you like to hate.,back_translation
as a less dizzying companion of M. wong in the atmosphere of love - very a Hong Kong movie despite its continental decor.,as a less vertiginous companion of M. wong in the atmosphere of love - very a Hong Kong film despite its continental decor.,back_translation
"The film's best trick is how it treats conspiracy as a kind of political witchcraft, a monstrous wall that haunts us precisely because it can never be seen.","The best thing in the film is how it treats conspiracy as a kind of political witchcraft, a monstrous wall that haunts us precisely because it can never be seen.",back_translation
"Labute ca does not avoid a fatal error in the modern era: he changed the male academic from a lower class brit to an American, a choice that upsets the exquisite balance of the novel and shreds the fabric of the film.","Labute ca does not avoid a fatal error in modern times: he changed the male academic from a lower class brit to an American, a choice that upsets the exquisite balance of the novel and shreds the fabric of the film.",back_translation
"Every five minutes or so, someone gets clocked.","Every five minutes, someone gets caught.",back_translation
a dazzling experience.,A dazzling experience.,back_translation
"It pulls the carpet from under you, just when you're ready to hate a character, or really sympathize with another character, something happens to send you in a different direction.","He pulls the carpet from under you, just when you're ready to hate a character, or really sympathize with another character, something happens to send you in a different direction.",back_translation
Gibney and Jarecki just want to put it on.,Gibney and Jarecki just want to put it on.,back_translation
"In case of doubt, the film clicks on the soundtrack by stirring, throws in a fish gag out of the water and lets the cliché dialogue tear.","In case of doubt, the film clicks on the soundtrack by stirring, throws a gag of fish out of the water and lets the dialogue cliché tear.",back_translation
a thriller made from a complete checklist rather than with the passion of a cult.,a thriller made from a complete checklist rather than with the passion of a cult.,back_translation
can be the most careless victim of critical overmortality from the city and country.,may be the most negligent victim of the critical overmortality of the city and the country.,back_translation
"at his moments, but it's far enough from a treasure.","at his times, but it's far enough from a treasure.",back_translation
goes a long way on the hedonist taste.,It's been a long way on the hedonist taste.,back_translation
corresponds to the impact of neorealism by showing humanity of a war-torn land filled with people who just want to live their lives.,corresponds to the impact of neorealism by showing humanity of a war-torn land filled with people who simply want to live their lives.,back_translation
the centrality is not complex enough to retain our interest.,centrality is not complex enough to keep our interest.,back_translation
action cannot be done.,It is not possible to act.,back_translation
"The director and his capable casting seem to be caught in a capricious whirlwind of new good intentions inspired by age, but the fate they have cast is not the least somewhat mesmerized.","The director and his casting talent seem to be caught in a capricious whirlwind of new good intentions inspired by age, but the fate they threw away is not the least of the world a little mesmerized.",back_translation
a film that feels like the pilot episode of a new series of tele-action targeted at the adolescent.,a film that looks like the pilot episode of a new series of tele-action focused on teenagers.,back_translation
You don't look at religious fanatics -- or hangars -- the same way again.,You don't look at religious fanatics -- or hangars -- the same way again.,back_translation
the combination of lightness and rigor in this case gives Italian for beginners a pleasant animosity that prevents it from appearing predictable formula.,the combination of lightness and rigour in this case gives Italian for beginners a pleasant animosity that prevents it from appearing predictable formula.,back_translation
"Not bad, but not all that's good.","Not bad, but not all that's good.",back_translation
"Older people will love this film, and I mean that in the most pleasant way possible: the last orders will touch the heart of any person old enough to have earned a 50-year-old friendship.","The elderly will love this film, and I mean that in the most pleasant way possible: the last orders will touch the hearts of anyone old enough to have won a 50-year-old friendship.",back_translation
"There's a thin line between like-dowdowed and fuddy-duddy, and the cristo mountain count ... never settles entirely on either side.","There's a thin line between the fawn and the fawn, and the number of Cristo Mountains... never settles entirely on either side.",back_translation
A pleudant look at the French revolution through the eyes of the aristocrats.,A pleasureful look at the French revolution through the eyes of the aristocrats.,back_translation
What is it?,What is it?,back_translation
"... catchy and beautiful execution, -lrb- but -rrb- there is not a lot of k-19 that is unique or memorable.","... catchy and beautiful execution, -lrb- but -rrb- there is not a lot of k-19 that is unique or memorable.",back_translation
They're young cannons who meet goodfellas in this hay-vs easy to jump.,These are young cannons who meet goodfellas in this hay-vs easy to jump.,back_translation
The film will appeal to the fans of the discovery chain and will surely broaden the perspective of those of us who see the continent through pink-coloured glasses.,The film will seduce the fans of the discovery chain and will certainly broaden the perspective of those of us who see the continent through pink-coloured glasses.,back_translation
You don't want to call the cops.,You don't want to call the cops.,back_translation
`` tuxedo '' should have been the vehicle for '`the mask '' was for jim carrey.,``tuxedo ' ' ' should have been the vehicle for '`the mask '' was for Jim Carrey.,back_translation
I don't even care that there's no plot in this antonio banderas-lucy liu faceoff.,I don't care if there's any conspiracy in this face of Antonio banderas-lucy liu.,back_translation
"It's all free for a long time, as if schwentke were filling a raw quota for a planned demographic audience instead of shaping the material to adapt to history.","Everything has been free for a long time, as if Schwentke filled a raw quota for a planned demographic audience instead of shaping the material to adapt to history.",back_translation
"If all eight legged monsters were as entertaining as the last hour, I would have no problem giving him an unqualified recommendation.","If the eight leg monsters were as entertaining as the last hour, I would have no problem giving him an unreserved recommendation.",back_translation
"the cameo-packed, m: the i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise ... then Mike Myers shows up and ruins everything.","the cameo-packed, m: the sequence of titles i-2-spoofing is the funniest 5 minutes to date in this spy comedy franchise ... then Mike Myers shows up and ruins everything.",back_translation
but even with two fault chemistry-make-a-right between joy and burns ... this otherwise attractive image loses its soul to screen for the conformity of mannequins.,but even with two chemical-make-a-right defects between joy and burns ... this otherwise attractive image loses its soul to check the conformity of the mannequins.,back_translation
any analysis that proves that there is really only one film 'the value of decent gags to glean from the premise.,Any analysis that proves that there is really only one film 'the value of decent gags to glean from the premise.,back_translation
"While the mystery unlocks, the characters respond by striking each other.","As the mystery unlocks, the characters respond by striking each other.",back_translation
"for a first film, the skin of man, the heart of the beast feels abnormally assured.","for a first film, the skin of man, the heart of the beast feels abnormally assured.",back_translation
tian highlights the isolation of these characters from the color in the backyard of liyan.,tian highlights the isolation of these color characters in Liyan's garden.,back_translation
This journey harassing in the battle in hell is a brilliant capture of the chaotic madness and personal tragedies that are too abundant when human hatred comes out without control.,This harassing journey into the battle in Hell is a brilliant capture of chaotic madness and personal tragedies that are too abundant when human hatred comes out without control.,back_translation
an oestrogen opera so intensely feminine that it serves as antidote -lrb- and cannier doppelganger -rrb- diesel 's xxx flex-a-thon .,oestrogen opera so intensely feminine that it serves as antidote -lrb- and cannier doppelganger -rrb- diesel 's xxx flex-a-thon .,back_translation
between his powerful moments.,between his powerful moments.,back_translation
"with lines that feel like long soliloques -- even when framed in conversation -- max is static, stubborn.","with lines that feel like long soliloques -- even framed in conversation -- max is static, stubborn.",back_translation
"There's not much to fatalize, apart from his elegant surprises... but it's okay.","There's not much to fatalize, except for his elegant surprises... but it's okay.",back_translation
"It is a boom box of a film that could have been called "" the fort and the ridiculous "" ... the prodigy to a film audience dominated by young men is too calculated.","It is a boom box of a film that could have been called "" the fort and the ridiculous "" ... the prodigy of a film audience dominated by young men is too calculated.",back_translation
There's not much more painful than an unpunished movie that thinks it's hilarious.,There's not much more painful than an unpunished movie that thinks it's hilarious.,back_translation
"a respectable company in its own terms, without the broader vision that has seen some trek movies ... intersect with a larger audience.","a respectable company in its own terms, without the broader vision that has seen certain trek movies ... meet with a wider audience.",back_translation
"sometimes we feel as if the film cares about a colorful event to another without respite, but sometimes it must have seemed like frida kahlo as if his life had done it, too.","Sometimes you feel like the film cares about one colorful event to another without respite, but sometimes it must have looked like Frida kahlo as if her life had done it, too.",back_translation
"the story, touching though it is, does not have enough emotional resonance or variety of incident to support a feature, and even at 85 minutes it feels a little long.","the story, as touching as it is, does not have enough emotional resonance or variety of incident to support a feature, and even at 85 minutes it feels a little long.",back_translation
aiming at at at least demanding demographic groups: very small children who will simply be delighted to spend more time with familiar cartoon characters.,aimed at at at least demanding demographic groups: very small children who will simply be delighted to spend more time with familiar cartoon characters.,back_translation
...a stylized preaching parable with a touch of john Woo's ballet.,...a parabola of preaching stylized with a touch of ballet by John Woo.,back_translation
It's too bad nothing else is.,Too bad nothing else is.,back_translation
You might be shocked to find out that Seinfeld's real life is boring.,You might be shocked to find out that Seinfeld's real life is boring.,back_translation
solondz creates some effective moments of discomfort for the character and the spectator.,solondz creates effective moments of discomfort for the character and the spectator.,back_translation
Thanks for the movie.,Thanks for the movie.,back_translation
"...a ho-hum case, always observable but barely memorable.","...a ho-hum case, always observable but barely memorable.",back_translation
barrels along at the start before getting wet in sentimentality.,barrels along at first before getting wet in sentimentality.,back_translation
"a troubling examination of what appears to be the definition of a "" bad "" police shooting.","troubling consideration of what appears to be the definition of a "" bad "" police shooting.",back_translation
presents a good case while not providing a reason for us to take care beyond the very basic dictums of human decency.,presents a good case while not providing a reason for us to take care beyond the very basic dictums of human decency.,back_translation
"by capturing the under-estimated comic agony of an aristocracy, yet decadent genteel that can no longer pay its bills, the film could just as well approach the turn of the 20th century in the 21st.","by capturing the underestimated comic agony of an aristocracy, yet decadent genteel that can no longer pay its bills, the film could just as well approach the turn of the 20th century to the 21st century.",back_translation
a roller-coaster virtual ride of glamour and sleaze.,A virtual mountain ride with glamour and joy.,back_translation
"If h.g. Wells had a time machine and could take a look at his parent's reworked version, what would he say?","If h.g. Wells had a time machine and could take a look at his parent's reworked version, what would he say?",back_translation
which could have been a little colder on the seductive seductive of the new technology loses faith in its own viability and succumbs to the excess of special effects without joy.,who could have been a little colder on the seductive seductiveness of the new technology loses faith in its own viability and succumbs to the excess of special effects without joy.,back_translation
It's just boring.,It's just boring.,back_translation
"It's hard to be a black man in America, especially when the man took your car, your working hours and refused you health insurance.","It's hard to be a black man in America, especially when the man took your car, your hours of work and refused you health insurance.",back_translation
"cattaneo should have followed the runaway success of his first film, the complete monty, with something different.","cattaneo should have followed the runaway success of his first film, the complete monty, with something different.",back_translation
"end up being mainly on the lovely costumes, eye filling, large screen production design and crazy joan decision to stand up to his man, no matter how many times he shows that he is a disloyal satyr.","end up being mainly about the beautiful costumes, the filling of the eyes, the great screen production design and the crazy decision of joan to stand up to his man, no matter how many times he shows that he is a disloyal satyr.",back_translation
"The petty emotions that rage throughout this three-hour effort are immediately recognizable, allowing the film to feel paradoxically familiar and foreign at the same time.","The small emotions that rage throughout this three-hour effort are immediately recognizable, allowing the film to feel paradoxically familiar and foreign at the same time.",back_translation
"on the beauty of amy, the career success of amy -lrb - she is a best-selling writer of self-help books that does not help herself -rrb-, and the neuroses of amy when it comes to men.","on the beauty of amy, the career success of amy - lrb - she is a successful writer of self-help books that does not help herself - rrb-, and the neuroses of amy when it comes to men.",back_translation
"Well, they're ""they.""","They're ""they.""",back_translation
"``secretary ' ' is the property of his Costars, Spader and Gyllenhaal.","The ""secretary"" is owned by his Costars, Spader and Gyllenhaal.",back_translation
so overflowing with unanswered questions that it demands gargantuan leaps of faith just to look it folds along.,so overflowing with unanswered questions that it demands gargantuan leaps of faith just to look it folds along.,back_translation
"a modestly comic, modestly oriented to the action World War II adventure which, in terms of authenticity, is one of those films that requires the enemy to never turn straight.","a modest comic strip, modestly oriented towards the adventure of the Second World War, which, in terms of authenticity, is one of those films that requires the enemy to never turn straight.",back_translation
There's nothing to circumvent the fact that it's the revenge of the re-visited nerds -- again.,There's nothing to circumvent the fact that it's revenge of the revised nerds -- again.,back_translation
"Super soldiers is a strange mix of comedy genres, existing somewhere between the often literal riffs of the early Zucker\/abrahams movies, and the decidedly bad styles of their post-modern contemporaries, the farrelly brothers.","Super soldiers is a strange mix of comedy genres, existing somewhere between the often literal riffs of the early Zucker\/abrahams, and the decidedly bad styles of their post-modern contemporaries, the Farrelly brothers.",back_translation
"Overall, it's a little wacky and inspired film that works effortlessly to deliver authentic, acerbic laughter.","Overall, it's a little wacky and inspired movie that works effortlessly to deliver authentic and acerbic laughter.",back_translation
"a subtle, poignant image of goodness that is imperfect, compromised and sad.","a subtle and poignant image of imperfect, compromised and sad goodness.",back_translation
a drama with a hidden agenda that shouts the classic French nuance.,a drama with a hidden agenda that shouts the classic French nuance.,back_translation
"The beautiful, unusual music is the main drawing of this movie, but its dreaming can appeal to you to sleep.","Beautiful and unusual music is the main drawing of this film, but its dream may interest you to sleep.",back_translation
"Crushing them, crushing them, killing them, eventually getting out of nowhere by replacing chaos with suspense.","Crushing them, crushing them, killing them, eventually leaving nowhere by replacing chaos with suspense.",back_translation
"it is an image that mayk, the brand of fire became ad man savvy, would be envious of: it diverts the heat from the revolution and transforms it into a sales tool.","It is an image whose mayk, the brand of fire has become ad man savvy, would be envious: it diverts the heat from the revolution and transforms it into a sales tool.",back_translation
"He doesn't escape from his past, and he doesn't want to.","He doesn't escape from his past, and he doesn't want to.",back_translation
the umpteenth summer lean immersion in Jerry Bruckheimer's 'retreading putrid pond action twaddle.,"the lean immersion of the summer in the ""refilling of Jerry Bruckheimer's Putrid Pond action twoddle.",back_translation
so verbally flat feet and so emotionally predictable or fade that it plays as the standard makes-for-tv film.,if verbally flat feet and so emotionally predictable or fades that it plays as the standard make-for-tv film.,back_translation
"It's stupid, it's strong and crazy.","It's stupid, it's strong and crazy.",back_translation
"as it ends in a rush of sequins, flashbulbs, salient brass and babies backstabbing, he said a lot of how the show business infiltrated every corner of society -- and not always for the best.","As it ends in a rush of sequins, flashbulbs, salient coppers and backstabbing babies, he said a lot of how the show business infiltrated every corner of society -- and not always for the best.",back_translation
"It's a difficult film, if not always a coherent narrative film.","It's a difficult film, if not always a coherent narrative film.",back_translation
Tsai can plow the same furrow once too often.,Tsai can plow the same furrow once too often.,back_translation
"Except to pay like the boss who finally expresses empathy for Bartleby's pain, performances are so stylized that they are exhausted from human emotion.","Except to pay like the boss who finally expresses empathy for Bartleby's pain, performances are so stylized that they are exhausted from human emotion.",back_translation
buy popcorn.,Buy popcorn.,back_translation
"Scintillating in his post portrait of Tinseltown veterans who have been a part of gossip, wealth, paranoia, and fame.","Scintillating in his post portrait of Tinseltown veterans who have been part of gossip, wealth, paranoia and fame.",back_translation
a gothic crust staircase.,a gothic staircase in crust.,back_translation
"don michael paul uses fast cuts, -lrb- very -rrb- large shadows and wide-angle shots taken remotely to hide the liberal use of a double body -lrb- for Seagal -rrb- .","don michael paul uses fast cuts, -lrb- very -rrb- large shadows and wide-angle shots taken remotely to hide the liberal use of a double body -lrb- for Seagal -rrb- .",back_translation
"Call this the complete mountain on the ice, the formula of the underdog redux sports team.","Call this the complete mountain on the ice, the formula of the underdog redux sports team.",back_translation
The fun approach of lay people to college education is disappointingly simplistic - the biggest problem of the film - and there are no incredibly stupid stunts or abnormally coarse lines of dialogue to remember by.,The laity's fun approach to college education is disappointingly simplistic - the biggest problem in the film - and there are no incredibly stupid stunts or abnormally rough lines of dialogue to remember.,back_translation
"together movies, like soap operas, depend on empathy.","Films together, like soap operas, depend on empathy.",back_translation
broomfield reveals an ironic manifestation of institutionalized slavery that links a black label to a white-power police force.,broomfield reveals an ironic manifestation of institutionalized slavery that links a black label to a white-power police force.,back_translation
